checking,duration,history,purpose,amount,savings,employed,installp,marital,coapp,resident,property,age,housing,existcr,job,depends,telephon,foreign,good_bad
0 <= ... < 200 DM,18,Dues Remain,New Car,884,< 100 DM ,>7 Years,4,Male M/D,None,4,Others,36,Own,1,Skilled,2,Registered,No,bad
No Acc,15,Dues Remain,Television,1360,< 100 DM ,1-4 Years,4,Male M/D,None,2,Building society,31,Own,2,Skilled,1,None,No,good
0 <= ... < 200 DM,9,Bank paid,Old Car,5129,< 100 DM ,>7 Years,2,Female M/D,None,4,Unknown,74,Free,1,Highly Qualified,2,Registered,No,bad
0 <= ... < 200 DM,16,Dues Remain,New Car,1175,< 100 DM ,Unemployed,2,Male M/D,None,3,Others,68,Free,3,Unemployed,1,Registered,No,good
< 0 DM,12,Existing paid,Television,674,100-500 DM,4-7 Years,4,Male S,None,1,Building society,20,Own,1,Skilled,1,None,No,bad
0 <= ... < 200 DM,18,All Paid,Furniture,3244,< 100 DM ,1-4 Years,1,Female M/D,None,4,Others,33,Own,2,Skilled,1,Registered,No,good
No Acc,24,Existing paid,Business,4591,>1000 DM,1-4 Years,2,Male M/D,None,3,Building society,54,Own,3,Highly Qualified,1,Registered,No,bad
0 <= ... < 200 DM,48,All Paid,Business,3844,100-500 DM,4-7 Years,4,Male M/D,None,4,Unknown,34,Free,1,Unskilled,2,None,No,bad
0 <= ... < 200 DM,27,Existing paid,Business,3915,< 100 DM ,1-4 Years,4,Male M/D,None,2,Others,36,Own,1,Skilled,2,Registered,No,bad
No Acc,6,Existing paid,Television,2108,< 100 DM ,4-7 Years,2,Male S,None,2,Real Estate,29,Rent,1,Skilled,1,None,No,good
0 <= ... < 200 DM,45,Existing paid,Television,3031,100-500 DM,1-4 Years,4,Male M/D,Guarantor,4,Building society,21,Rent,1,Skilled,1,None,No,bad
0 <= ... < 200 DM,9,Dues Remain,Education,1501,< 100 DM ,>7 Years,2,Female M/D,None,3,Others,34,Own,2,Highly Qualified,1,Registered,No,bad
No Acc,6,Dues Remain,Television,1382,< 100 DM ,1-4 Years,1,Female M/D,None,1,Others,28,Own,2,Skilled,1,Registered,No,good
0 <= ... < 200 DM,12,Existing paid,Furniture,951,100-500 DM,1 Year,4,Female M/D,None,4,Others,27,Rent,4,Skilled,1,None,No,bad
0 <= ... < 200 DM,24,Existing paid,Old Car,2760,Unknown,>7 Years,4,Male M/D,None,4,Unknown,36,Free,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,18,Delayed,Furniture,4297,< 100 DM ,>7 Years,4,Female S,None,3,Unknown,40,Own,1,Highly Qualified,1,Registered,No,bad
No Acc,9,Dues Remain,Education,936,500-1000 DM,>7 Years,4,Male M/D,None,2,Others,52,Own,2,Skilled,1,Registered,No,good
< 0 DM,12,Existing paid,New Car,1168,< 100 DM ,1-4 Years,4,Male S,None,3,Real Estate,27,Own,1,Unskilled,1,None,No,good
No Acc,27,Delayed,Business,5117,< 100 DM ,4-7 Years,3,Male M/D,None,4,Others,26,Own,2,Skilled,1,None,No,good
< 0 DM,12,Existing paid,Retraining,902,< 100 DM ,4-7 Years,4,Male S,None,4,Building society,21,Rent,1,Skilled,1,None,No,bad
No Acc,12,Dues Remain,New Car,1495,< 100 DM ,>7 Years,4,Male M/D,None,1,Real Estate,38,Own,2,Unskilled,2,None,No,good
< 0 DM,30,Dues Remain,Old Car,10623,< 100 DM ,>7 Years,3,Male M/D,None,4,Unknown,38,Free,3,Highly Qualified,2,Registered,No,good
No Acc,12,Dues Remain,Furniture,1935,< 100 DM ,>7 Years,4,Male M/D,None,4,Real Estate,43,Own,3,Skilled,1,Registered,No,good
0 <= ... < 200 DM,12,Dues Remain,Appliance,1424,< 100 DM ,4-7 Years,4,Male M/D,None,3,Building society,26,Own,1,Skilled,1,None,No,good
< 0 DM,24,Existing paid,Business,6568,< 100 DM ,1-4 Years,2,Male S,None,2,Others,21,Own,1,Unskilled,1,None,No,good
No Acc,12,Existing paid,Old Car,1413,>1000 DM,4-7 Years,3,Male M/D,None,2,Building society,55,Own,1,Skilled,1,None,Yes,good
No Acc,9,Dues Remain,Television,3074,Unknown,1-4 Years,1,Male M/D,None,2,Real Estate,33,Own,2,Skilled,2,None,No,good
No Acc,36,Existing paid,Television,3835,Unknown,>7 Years,2,Female M/D,None,4,Real Estate,45,Own,1,Unskilled,1,Registered,No,good
< 0 DM,27,All Paid,Business,5293,< 100 DM ,Unemployed,2,Male M/D,None,4,Building society,50,Own,2,Skilled,1,Registered,No,bad
>= 200 DM,30,Delayed,Business,1908,< 100 DM ,>7 Years,4,Male M/D,None,4,Real Estate,66,Own,1,Highly Qualified,1,Registered,No,bad
No Acc,36,Dues Remain,Television,3342,Unknown,>7 Years,4,Male M/D,None,2,Others,51,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,6,Dues Remain,Retraining,932,Unknown,4-7 Years,1,Female M/D,None,3,Building society,39,Own,2,Unskilled,1,None,No,good
< 0 DM,18,All Paid,Business,3104,< 100 DM ,4-7 Years,3,Male M/D,None,1,Building society,31,Own,1,Skilled,1,Registered,No,good
>= 200 DM,36,Existing paid,Television,3913,< 100 DM ,1-4 Years,2,Male M/D,None,2,Real Estate,23,Own,1,Skilled,1,Registered,No,good
< 0 DM,24,Existing paid,Furniture,3021,< 100 DM ,1-4 Years,2,Female S,None,2,Real Estate,24,Rent,1,Unskilled,1,None,No,good
No Acc,10,Existing paid,New Car,1364,< 100 DM ,1-4 Years,2,Female M/D,None,4,Others,64,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,12,Existing paid,Television,625,< 100 DM ,1 Year,4,Male S,Guarantor,1,Real Estate,26,Own,1,Unskilled,1,None,No,good
< 0 DM,12,Existing paid,Education,1200,Unknown,1-4 Years,4,Female M/D,None,4,Building society,23,Rent,1,Skilled,1,Registered,No,good
No Acc,12,Existing paid,Television,707,< 100 DM ,1-4 Years,4,Male M/D,None,2,Real Estate,30,Own,2,Skilled,1,None,No,good
No Acc,24,Delayed,Business,2978,Unknown,1-4 Years,4,Male M/D,None,4,Real Estate,32,Own,2,Skilled,2,Registered,No,good
No Acc,15,Existing paid,Old Car,4657,< 100 DM ,1-4 Years,3,Male M/D,None,2,Others,30,Own,1,Skilled,1,Registered,No,good
No Acc,36,All Paid,Repairs,2613,< 100 DM ,1-4 Years,4,Male M/D,None,2,Others,27,Own,2,Skilled,1,None,No,good
0 <= ... < 200 DM,48,Existing paid,Television,10961,>1000 DM,4-7 Years,1,Male M/D,Co-app,2,Unknown,27,Own,2,Skilled,1,Registered,No,bad
< 0 DM,12,Existing paid,Furniture,7865,< 100 DM ,>7 Years,4,Male M/D,None,4,Unknown,53,Free,1,Highly Qualified,1,Registered,No,bad
No Acc,9,Existing paid,Television,1478,< 100 DM ,4-7 Years,4,Male M/D,None,2,Others,22,Own,1,Skilled,1,None,No,bad
< 0 DM,24,Existing paid,Furniture,3149,< 100 DM ,1 Year,4,Male M/D,None,1,Unknown,22,Free,1,Skilled,1,None,No,good
>= 200 DM,36,Existing paid,Television,4210,< 100 DM ,1-4 Years,4,Male M/D,None,2,Others,26,Own,1,Skilled,1,None,No,bad
No Acc,9,Existing paid,New Car,2507,500-1000 DM,>7 Years,2,Male M/D,None,4,Unknown,51,Free,1,Unskilled,1,None,No,good
No Acc,12,Existing paid,Television,2141,100-500 DM,4-7 Years,3,Male M/D,None,1,Unknown,35,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,18,Existing paid,Television,866,< 100 DM ,1-4 Years,4,Male S,Guarantor,2,Real Estate,25,Own,1,Unskilled,1,None,No,good
No Acc,4,Dues Remain,Television,1544,< 100 DM ,4-7 Years,2,Male M/D,None,1,Real Estate,42,Own,3,Unskilled,2,None,No,good
< 0 DM,24,Existing paid,Television,1823,< 100 DM ,Unemployed,4,Male M/D,None,2,Others,30,Own,1,Highly Qualified,2,None,No,bad
0 <= ... < 200 DM,6,Existing paid,New Car,14555,Unknown,Unemployed,1,Male M/D,None,2,Building society,23,Own,1,Unemployed,1,Registered,No,bad
0 <= ... < 200 DM,21,Existing paid,Business,2767,100-500 DM,>7 Years,4,Female S,None,2,Others,61,Rent,2,Unskilled,1,None,No,bad
No Acc,12,Dues Remain,Television,1291,< 100 DM ,1-4 Years,4,Female M/D,None,2,Building society,35,Own,2,Skilled,1,None,No,good
< 0 DM,30,Existing paid,Television,2522,< 100 DM ,>7 Years,1,Male M/D,Guarantor,3,Building society,39,Own,1,Skilled,2,None,No,good
< 0 DM,24,Existing paid,New Car,915,Unknown,>7 Years,4,Female M/D,None,2,Others,29,Own,1,Skilled,1,None,No,bad
No Acc,6,Existing paid,Television,1595,< 100 DM ,4-7 Years,3,Male M/D,None,2,Building society,51,Own,1,Skilled,2,None,No,good
< 0 DM,48,All Paid,Old Car,4605,< 100 DM ,>7 Years,3,Male M/D,None,4,Unknown,24,Free,2,Skilled,2,None,No,bad
No Acc,12,Dues Remain,Business,1185,< 100 DM ,1-4 Years,3,Female M/D,None,2,Real Estate,27,Own,2,Skilled,1,None,No,good
No Acc,12,Bank paid,Retraining,3447,500-1000 DM,1-4 Years,4,Female M/D,None,3,Real Estate,35,Own,1,Unskilled,2,None,No,good
No Acc,24,Existing paid,Business,1258,< 100 DM ,4-7 Years,4,Male M/D,None,1,Real Estate,25,Own,1,Skilled,1,Registered,No,good
No Acc,12,Dues Remain,Television,717,< 100 DM ,>7 Years,4,Male M/D,None,4,Real Estate,52,Own,3,Skilled,1,None,No,good
No Acc,6,All Paid,New Car,1204,100-500 DM,1-4 Years,4,Male M/D,None,1,Unknown,35,Rent,1,Skilled,1,None,Yes,good
>= 200 DM,24,Existing paid,Furniture,1925,< 100 DM ,1-4 Years,2,Male M/D,None,2,Real Estate,26,Own,1,Skilled,1,None,No,good
No Acc,18,Existing paid,Television,433,< 100 DM ,Unemployed,3,Female M/D,Co-app,4,Real Estate,22,Rent,1,Skilled,1,None,No,bad
< 0 DM,6,Dues Remain,New Car,666,>1000 DM,4-7 Years,3,Female M/D,None,4,Real Estate,39,Own,2,Unskilled,1,Registered,No,good
>= 200 DM,12,Existing paid,Furniture,2251,< 100 DM ,1-4 Years,1,Female M/D,None,2,Others,46,Own,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,30,Existing paid,New Car,2150,< 100 DM ,1-4 Years,4,Female M/D,Guarantor,2,Unknown,24,Own,1,Skilled,1,None,No,bad
No Acc,24,Delayed,Furniture,4151,100-500 DM,1-4 Years,2,Male M/D,None,3,Building society,35,Own,2,Skilled,1,None,No,good
0 <= ... < 200 DM,9,Existing paid,Furniture,2030,Unknown,4-7 Years,2,Male M/D,None,1,Others,24,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,60,Delayed,Television,7418,Unknown,1-4 Years,1,Male M/D,None,1,Real Estate,27,Own,1,Unskilled,1,None,No,good
No Acc,24,Dues Remain,Television,2684,< 100 DM ,1-4 Years,4,Male M/D,None,2,Real Estate,35,Own,2,Unskilled,1,None,No,good
< 0 DM,12,Bank paid,Television,2149,< 100 DM ,1-4 Years,4,Female S,None,1,Unknown,29,Free,1,Skilled,1,None,No,bad
No Acc,15,Existing paid,Old Car,3812,100-500 DM,1 Year,1,Female M/D,None,4,Others,23,Own,1,Skilled,1,Registered,No,good
No Acc,11,Dues Remain,Television,1154,100-500 DM,Unemployed,4,Female M/D,None,4,Real Estate,57,Own,3,Unskilled,1,None,No,good
< 0 DM,12,Existing paid,Furniture,1657,< 100 DM ,1-4 Years,2,Male M/D,None,2,Real Estate,27,Own,1,Skilled,1,None,No,good
< 0 DM,24,Existing paid,Television,1603,< 100 DM ,>7 Years,4,Female M/D,None,4,Others,55,Own,1,Skilled,1,None,No,good
< 0 DM,18,Dues Remain,New Car,5302,< 100 DM ,>7 Years,2,Male M/D,None,4,Unknown,36,Free,3,Highly Qualified,1,Registered,No,good
No Acc,12,Dues Remain,Education,2748,< 100 DM ,>7 Years,2,Female M/D,None,4,Unknown,57,Free,3,Unskilled,1,None,No,good
No Acc,10,Dues Remain,New Car,1231,< 100 DM ,>7 Years,3,Male M/D,None,4,Real Estate,32,Own,2,Unskilled,2,None,Yes,good
0 <= ... < 200 DM,15,Existing paid,Television,802,< 100 DM ,>7 Years,4,Male M/D,None,3,Others,37,Own,1,Skilled,2,None,No,bad
No Acc,36,Dues Remain,Business,6304,Unknown,>7 Years,4,Male M/D,None,4,Real Estate,36,Own,2,Skilled,1,None,No,good
No Acc,24,Existing paid,Television,1533,< 100 DM ,1 Year,4,Female M/D,None,3,Others,38,Own,1,Skilled,1,Registered,No,good
< 0 DM,14,Existing paid,New Car,8978,< 100 DM ,>7 Years,1,Female S,None,4,Building society,45,Own,1,Highly Qualified,1,Registered,Yes,bad
No Acc,24,Existing paid,Television,999,Unknown,>7 Years,4,Male M/D,None,2,Others,25,Own,2,Skilled,1,None,No,good
No Acc,18,Existing paid,New Car,2662,Unknown,4-7 Years,4,Male M/D,None,3,Building society,32,Own,1,Skilled,1,None,Yes,good
No Acc,12,Dues Remain,Furniture,1402,500-1000 DM,4-7 Years,3,Female M/D,None,4,Others,37,Rent,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,48,Bank paid,New Car,12169,Unknown,Unemployed,4,Male M/D,Co-app,4,Unknown,36,Free,1,Highly Qualified,1,Registered,No,good
0 <= ... < 200 DM,48,Existing paid,Television,3060,< 100 DM ,4-7 Years,4,Male M/D,None,4,Real Estate,28,Own,2,Skilled,1,None,No,bad
< 0 DM,30,Existing paid,Repairs,11998,< 100 DM ,1 Year,1,Female S,None,1,Unknown,34,Own,1,Unskilled,1,Registered,No,bad
No Acc,9,Existing paid,Television,2697,< 100 DM ,1-4 Years,1,Male M/D,None,2,Real Estate,32,Own,1,Skilled,2,None,No,good
No Acc,18,Dues Remain,Television,2404,< 100 DM ,1-4 Years,2,Female M/D,None,2,Others,26,Own,2,Skilled,1,None,No,good
< 0 DM,12,Existing paid,Furniture,1262,Unknown,>7 Years,2,Female S,None,4,Building society,49,Own,1,Unskilled,1,Registered,No,good
No Acc,6,Existing paid,Furniture,4611,< 100 DM ,1 Year,1,Female M/D,None,4,Building society,32,Own,1,Skilled,1,None,No,bad
No Acc,24,Existing paid,Television,1901,100-500 DM,1-4 Years,4,Male M/D,None,4,Others,29,Rent,1,Highly Qualified,1,Registered,No,good
No Acc,15,Dues Remain,Old Car,3368,>1000 DM,>7 Years,3,Male M/D,None,4,Unknown,23,Rent,2,Skilled,1,Registered,No,good
No Acc,12,Existing paid,Furniture,1574,< 100 DM ,1-4 Years,4,Male M/D,None,2,Real Estate,50,Own,1,Skilled,1,None,No,good
>= 200 DM,18,Bank paid,Television,1445,Unknown,4-7 Years,4,Male M/D,None,4,Others,49,Own,1,Unskilled,1,None,No,good
No Acc,15,Dues Remain,Furniture,1520,Unknown,>7 Years,4,Male M/D,None,4,Building society,63,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,24,Dues Remain,New Car,3878,100-500 DM,1 Year,4,Female S,None,2,Others,37,Own,1,Skilled,1,Registered,No,good
< 0 DM,47,Existing paid,New Car,10722,< 100 DM ,1 Year,1,Female M/D,None,1,Real Estate,35,Own,1,Unskilled,1,Registered,No,good
< 0 DM,48,Existing paid,Old Car,4788,< 100 DM ,4-7 Years,4,Male M/D,None,3,Building society,26,Own,1,Skilled,2,None,No,good
0 <= ... < 200 DM,48,Delayed,Others,7582,100-500 DM,Unemployed,2,Male M/D,None,4,Unknown,31,Free,1,Highly Qualified,1,Registered,No,good
0 <= ... < 200 DM,12,Existing paid,Television,1092,< 100 DM ,1-4 Years,4,Female M/D,Guarantor,4,Real Estate,49,Own,2,Skilled,1,Registered,No,good
< 0 DM,24,Delayed,Television,1024,< 100 DM ,1 Year,4,Male S,None,4,Real Estate,48,Own,1,Skilled,1,None,No,bad
No Acc,12,Existing paid,Business,1076,< 100 DM ,1-4 Years,2,Male S,None,2,Real Estate,26,Own,1,Skilled,1,Registered,Yes,good
0 <= ... < 200 DM,36,Existing paid,Old Car,9398,< 100 DM ,1 Year,1,Male S,None,4,Others,28,Rent,1,Highly Qualified,1,Registered,No,bad
< 0 DM,24,Dues Remain,Old Car,6419,< 100 DM ,>7 Years,2,Female M/D,None,4,Unknown,44,Free,2,Highly Qualified,2,Registered,No,good
>= 200 DM,42,Dues Remain,Old Car,4796,< 100 DM ,>7 Years,4,Male M/D,None,4,Unknown,56,Free,1,Skilled,1,None,No,good
No Acc,48,Dues Remain,Business,7629,Unknown,>7 Years,4,Female S,None,2,Others,46,Own,2,Highly Qualified,2,None,No,good
0 <= ... < 200 DM,48,Existing paid,Furniture,9960,< 100 DM ,1 Year,1,Female M/D,None,2,Others,26,Own,1,Skilled,1,Registered,No,bad
No Acc,12,Existing paid,Old Car,4675,Unknown,1 Year,1,Female M/D,None,4,Others,20,Rent,1,Skilled,1,None,No,good
No Acc,10,Existing paid,New Car,1287,Unknown,>7 Years,4,Male M/D,Co-app,2,Building society,45,Own,1,Unskilled,1,None,Yes,good
No Acc,18,Existing paid,Furniture,2515,< 100 DM ,1-4 Years,3,Male M/D,None,4,Real Estate,43,Own,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,21,Dues Remain,Furniture,2745,>1000 DM,4-7 Years,3,Male M/D,None,2,Others,32,Own,2,Skilled,1,Registered,No,good
No Acc,6,Existing paid,New Car,672,< 100 DM ,Unemployed,1,Female M/D,None,4,Real Estate,54,Own,1,Unemployed,1,Registered,No,good
0 <= ... < 200 DM,36,All Paid,Television,3804,< 100 DM ,1-4 Years,4,Female M/D,None,1,Others,42,Own,1,Skilled,1,Registered,No,bad
>= 200 DM,24,Dues Remain,New Car,1344,Unknown,4-7 Years,4,Male M/D,None,2,Real Estate,37,Own,2,Unskilled,2,None,No,bad
< 0 DM,10,Dues Remain,New Car,1038,< 100 DM ,4-7 Years,4,Male M/D,Co-app,3,Building society,49,Own,2,Skilled,1,Registered,No,good
No Acc,48,Dues Remain,New Car,10127,500-1000 DM,1-4 Years,2,Male M/D,None,2,Unknown,44,Free,1,Skilled,1,None,No,bad
No Acc,6,Existing paid,Furniture,1543,>1000 DM,1-4 Years,4,Female S,None,2,Real Estate,33,Own,1,Skilled,1,None,No,good
No Acc,30,Existing paid,Old Car,4811,Unknown,4-7 Years,2,Female M/D,None,4,Building society,24,Rent,1,Unskilled,1,None,No,good
< 0 DM,12,Existing paid,Television,727,100-500 DM,1 Year,4,Male S,None,3,Unknown,33,Own,1,Unskilled,1,Registered,No,bad
0 <= ... < 200 DM,8,Existing paid,Furniture,1237,< 100 DM ,1-4 Years,3,Female M/D,None,4,Real Estate,24,Own,1,Skilled,1,None,No,bad
0 <= ... < 200 DM,9,Existing paid,New Car,276,< 100 DM ,1-4 Years,4,Male S,None,4,Real Estate,22,Rent,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,48,Existing paid,Others,5381,Unknown,Unemployed,3,Male M/D,None,4,Unknown,40,Free,1,Unemployed,1,Registered,No,good
No Acc,24,Existing paid,Furniture,5511,100-500 DM,1-4 Years,4,Male M/D,None,1,Others,25,Own,1,Skilled,1,None,No,good
>= 200 DM,24,Existing paid,Furniture,3749,< 100 DM ,1 Year,2,Female M/D,None,4,Others,26,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,12,Existing paid,New Car,685,< 100 DM ,4-7 Years,2,Male S,None,3,Others,25,Own,1,Unskilled,1,None,No,bad
>= 200 DM,4,Existing paid,New Car,1494,Unknown,1 Year,1,Male M/D,None,2,Real Estate,29,Own,1,Unskilled,2,None,Yes,good
< 0 DM,36,Bank paid,Furniture,2746,< 100 DM ,>7 Years,4,Male M/D,None,4,Others,31,Own,1,Skilled,1,None,No,bad
< 0 DM,12,Existing paid,Furniture,708,< 100 DM ,1-4 Years,2,Male M/D,Guarantor,3,Building society,38,Own,1,Unskilled,2,None,No,good
0 <= ... < 200 DM,24,Existing paid,Furniture,4351,Unknown,1-4 Years,1,Female M/D,None,4,Building society,48,Own,1,Unskilled,1,Registered,No,good
No Acc,12,Dues Remain,Education,701,< 100 DM ,1-4 Years,4,Male M/D,None,2,Others,32,Own,2,Skilled,1,None,No,good
< 0 DM,15,Delayed,Furniture,3643,< 100 DM ,>7 Years,1,Female M/D,None,4,Building society,27,Own,2,Unskilled,1,None,No,good
0 <= ... < 200 DM,30,Dues Remain,New Car,4249,< 100 DM ,Unemployed,4,Male S,None,2,Others,28,Own,2,Highly Qualified,1,None,No,bad
< 0 DM,24,Existing paid,Television,1938,< 100 DM ,1 Year,4,Female S,None,3,Building society,32,Own,1,Skilled,1,None,No,bad
< 0 DM,24,Existing paid,Old Car,2910,< 100 DM ,4-7 Years,2,Male M/D,None,1,Unknown,34,Free,1,Highly Qualified,1,Registered,No,good
< 0 DM,18,Existing paid,Furniture,2659,>1000 DM,1-4 Years,4,Male M/D,None,2,Others,28,Own,1,Skilled,1,None,No,good
No Acc,18,Dues Remain,New Car,1028,< 100 DM ,1-4 Years,4,Female M/D,None,3,Real Estate,36,Own,2,Skilled,1,None,No,good
< 0 DM,8,Dues Remain,New Car,3398,< 100 DM ,4-7 Years,1,Male M/D,None,4,Real Estate,39,Own,2,Unskilled,1,None,Yes,good
No Acc,12,Dues Remain,Furniture,5801,Unknown,>7 Years,2,Male M/D,None,4,Building society,49,Rent,1,Skilled,1,Registered,No,good
No Acc,24,Existing paid,New Car,1525,>1000 DM,4-7 Years,4,Female M/D,None,3,Others,34,Own,1,Skilled,2,Registered,No,good
>= 200 DM,36,Existing paid,Television,4473,< 100 DM ,>7 Years,4,Male M/D,None,2,Others,31,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,6,Existing paid,Television,1068,< 100 DM ,>7 Years,4,Male M/D,None,4,Others,28,Own,1,Skilled,2,None,No,good
< 0 DM,24,Dues Remain,Old Car,6615,< 100 DM ,Unemployed,2,Male M/D,None,4,Unknown,75,Free,2,Highly Qualified,1,Registered,No,good
No Acc,18,Dues Remain,Education,1864,100-500 DM,1-4 Years,4,Female M/D,None,2,Real Estate,30,Own,2,Skilled,1,None,No,bad
0 <= ... < 200 DM,60,Existing paid,New Car,7408,100-500 DM,1 Year,4,Female M/D,None,2,Building society,24,Own,1,Highly Qualified,1,None,No,bad
No Acc,48,Dues Remain,Old Car,11590,100-500 DM,1-4 Years,2,Female M/D,None,4,Others,24,Rent,2,Unskilled,1,None,No,bad
< 0 DM,24,All Paid,Furniture,4110,< 100 DM ,>7 Years,3,Male M/D,None,4,Unknown,23,Rent,2,Skilled,2,None,No,bad
< 0 DM,6,Dues Remain,Furniture,3384,< 100 DM ,1-4 Years,1,Female S,None,4,Real Estate,44,Rent,1,Highly Qualified,1,Registered,No,bad
0 <= ... < 200 DM,13,Existing paid,Television,2101,< 100 DM ,1 Year,2,Female M/D,Guarantor,4,Building society,23,Own,1,Unskilled,1,None,No,good
< 0 DM,15,Existing paid,Appliance,1275,Unknown,1-4 Years,4,Female M/D,None,2,Others,24,Rent,1,Skilled,1,None,No,bad
< 0 DM,24,Existing paid,Furniture,4169,< 100 DM ,1-4 Years,4,Male M/D,None,4,Building society,28,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,10,Existing paid,Furniture,1521,< 100 DM ,1-4 Years,4,Female S,None,2,Others,31,Own,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,24,Dues Remain,Education,5743,< 100 DM ,1 Year,2,Female M/D,None,4,Unknown,24,Free,2,Skilled,1,Registered,No,good
< 0 DM,21,Existing paid,Furniture,3599,< 100 DM ,4-7 Years,1,Female M/D,None,4,Others,26,Rent,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,18,Existing paid,Television,3213,500-1000 DM,1 Year,1,Male S,None,3,Real Estate,25,Rent,1,Skilled,1,None,No,good
0 <= ... < 200 DM,18,Existing paid,Business,4439,< 100 DM ,>7 Years,1,Male M/D,Co-app,1,Real Estate,33,Own,1,Highly Qualified,1,Registered,No,good
>= 200 DM,10,Existing paid,New Car,3949,< 100 DM ,1 Year,1,Male M/D,Guarantor,1,Building society,37,Own,1,Unskilled,2,None,No,good
No Acc,15,Dues Remain,Television,1459,< 100 DM ,1-4 Years,4,Female M/D,None,2,Others,43,Own,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,13,Dues Remain,Television,882,< 100 DM ,1 Year,4,Male M/D,Guarantor,4,Real Estate,23,Own,2,Skilled,1,None,No,good
0 <= ... < 200 DM,24,Existing paid,Television,3758,500-1000 DM,Unemployed,1,Female M/D,None,4,Unknown,23,Rent,1,Unemployed,1,None,No,good
No Acc,6,Delayed,Business,1743,100-500 DM,1-4 Years,1,Male M/D,None,2,Real Estate,34,Own,2,Unskilled,1,None,No,good
0 <= ... < 200 DM,9,Dues Remain,Education,1136,>1000 DM,>7 Years,4,Male M/D,None,3,Unknown,32,Free,2,Skilled,2,None,No,bad
No Acc,9,Existing paid,Appliance,1236,< 100 DM ,1 Year,1,Female M/D,None,4,Real Estate,23,Rent,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,9,Existing paid,Furniture,959,< 100 DM ,1-4 Years,1,Female M/D,None,2,Others,29,Own,1,Skilled,1,None,Yes,bad
No Acc,18,Dues Remain,Old Car,3229,Unknown,Unemployed,2,Male M/D,None,4,Unknown,38,Own,1,Highly Qualified,1,Registered,No,good
< 0 DM,12,All Paid,Television,6199,< 100 DM ,1-4 Years,4,Male M/D,None,2,Building society,28,Rent,2,Skilled,1,Registered,No,bad
No Acc,10,Existing paid,Education,727,500-1000 DM,>7 Years,4,Male M/D,None,4,Unknown,46,Free,1,Skilled,1,Registered,No,good
0 <= ... < 200 DM,24,Existing paid,New Car,1246,< 100 DM ,1 Year,4,Male M/D,None,2,Real Estate,23,Own,1,Unskilled,1,None,No,bad
No Acc,12,Dues Remain,Television,2331,Unknown,>7 Years,1,Male M/D,Co-app,4,Real Estate,49,Own,1,Skilled,1,Registered,No,good
No Acc,36,Delayed,Television,4463,< 100 DM ,1-4 Years,4,Male M/D,None,2,Others,26,Own,2,Highly Qualified,1,Registered,No,bad
No Acc,12,Existing paid,Television,776,< 100 DM ,1-4 Years,4,Male S,None,2,Real Estate,28,Own,1,Skilled,1,None,No,good
< 0 DM,30,Existing paid,Furniture,2406,< 100 DM ,4-7 Years,4,Female M/D,None,4,Real Estate,23,Rent,1,Skilled,1,None,No,bad
0 <= ... < 200 DM,18,Existing paid,Education,1239,Unknown,1-4 Years,4,Male M/D,None,4,Unknown,61,Free,1,Skilled,1,None,No,good
>= 200 DM,12,Existing paid,Television,3399,Unknown,>7 Years,2,Male M/D,None,3,Others,37,Own,1,Highly Qualified,1,None,No,good
>= 200 DM,12,Delayed,New Car,2247,< 100 DM ,1-4 Years,2,Female M/D,None,2,Others,36,Own,2,Skilled,1,Registered,No,good
No Acc,6,Existing paid,Furniture,1766,< 100 DM ,1-4 Years,1,Male S,None,2,Building society,21,Rent,1,Skilled,1,None,No,good
< 0 DM,18,Existing paid,Furniture,2473,< 100 DM ,Unemployed,4,Male M/D,None,1,Others,25,Own,1,Unemployed,1,None,No,bad
No Acc,12,Existing paid,Business,1542,< 100 DM ,4-7 Years,2,Male M/D,None,4,Others,36,Own,1,Skilled,1,Registered,No,good
No Acc,18,Dues Remain,Old Car,3850,< 100 DM ,4-7 Years,3,Male M/D,None,1,Others,27,Own,2,Skilled,1,None,No,good
< 0 DM,18,Existing paid,Furniture,3650,< 100 DM ,1 Year,1,Female M/D,None,4,Others,22,Rent,1,Skilled,1,None,No,good
< 0 DM,36,Existing paid,Furniture,3446,< 100 DM ,>7 Years,4,Male M/D,None,2,Others,42,Own,1,Skilled,2,None,No,bad
